user_id,mpin,pin_length,dob_self,dob_spouse,dob_pet,anniversary_date,label,reason_if_weak,jumbled_self,jumbled_spouse,jumbled_pet,jumbled_anniversary
U0001,4042,4,1970-08-27,1974-03-19,2018-09-08,2004-12-21,STRONG,,2708|1970|7027|7008|0827,0319|7419|1974|7403|1903,0809|2018|1809|0908|1808,2004|1221|0421|0412|2112
U0002,1234,4,1976-12-19,1972-06-08,2024-07-26,2011-01-17,WEAK,COMMON_PATTERN,7619|1976|7612|1219|1912,7206|0806|0608|7208|1972,0726|2407|2426|2607|2024,1701|0117|2011|1101|1117
U0003,3329,4,1988-07-04,1988-07-02,2023-10-02,2007-04-04,STRONG,,8804|0704|8807|0407|1988,8802|0702|0207|8807|1988,2310|2302|0210|1002|2023,2007|0704|0404
U0004,2475,4,1991-08-15,1992-01-07,2017-12-15,2012-03-08,STRONG,,1508|9115|0815|9108|1991,0107|9207|1992|0701|9201,1512|1215|1715|1712|2017,0308|1203|0803|2012|1208
U0005,5700,4,1975-11-27,1976-01-24,2022-05-25,2021-09-19,STRONG,,1975|7511|2711|7527|1127,7601|1976|2401|7624|0124,2225|2205|2505|2022|0525,0919|2119|2021|1909|2109
U0006,2309,4,1987-07-05,1990-12-02,2011-03-06,2004-09-23,WEAK,DEMOGRAPHIC_ANNIVERSARY,8707|1987|8705|0507|0705,1990|0212|1202|9002|9012,0306|1103|1106|2011|0603,0409|2004|0423|0923|2309
U0007,5447,4,1982-01-08,1983-05-03,2012-10-18,2015-01-17,STRONG,,8208|0108|8201|0801|1982,1983|8303|0503|0305|8305,1218|1210|1018|1810|2012,1701|0117|1501|1517|2015
U0008,9122,4,1989-12-06,1990-08-19,2010-05-12,2010-02-26,STRONG,,8906|1206|8912|0612|1989,1990|9019|1908|0819|9008,2010|1205|0512|1012|1005,2010|2602|1002|0226|1026
U0009,1111,4,1993-03-09,1988-08-02,2015-02-07,2018-09-23,WEAK,COMMON_PATTERN,1993|0309|9309|9303|0903,0208|8808|8802|0802|1988,1502|0702|1507|0207|2015,0923|2309|2018|1823|1809
U0010,6102,4,1990-07-02,1988-12-27,2020-11-20,2000-05-19,STRONG,,1990|0702|9002|0207|9007,8827|1227|2712|8812|1988,1120|2020|2011,0019|1905|0519|0005|2000
U0011,0328,4,1999-01-11,2000-03-28,2016-12-29,2009-01-01,WEAK,DEMOGRAPHIC_SPOUSE,9901|9911|1999|0111|1101,0003|2803|0328|0028|2000,1612|2912|2016|1229|1629,0901|2009|0101
U0012,2398,4,1997-02-16,1998-01-08,2021-11-03,2008-12-10,STRONG,,1602|9716|9702|1997|0216,0108|1998|0801|9808|9801,0311|1103|2021|2103|2111,0810|1210|2008|0812|1012
U0013,0112,4,2003-01-19,2008-12-01,2023-08-27,2008-05-30,WEAK,DEMOGRAPHIC_SPOUSE,0319|0301|1901|0119|2003,1201|2008|0112|0801|0812,2708|2327|2308|2023|0827,0830|0805|2008|3005|0530
U0014,2249,4,1992-09-18,1993-07-18,2013-08-05,2020-08-24,STRONG,,9209|0918|9218|1809|1992,0718|1993|1807|9307|9318,2013|0508|0805|1305|1308,2008|0824|2408|2024|2020
U0015,0923,4,1997-11-30,1999-06-16,2012-07-31,2013-09-23,WEAK,DEMOGRAPHIC_ANNIVERSARY,1130|3011|1997|9711|9730,1606|0616|1999|9916|9906,1207|1231|2012|0731|3107,2013|1309|1323|0923|2309
U0016,7940,4,1979-06-15,1978-05-06,2015-03-09,2001-11-28,STRONG,,1506|0615|7915|7906|1979,0506|1978|0605|7805|7806,0309|1509|1503|0903|2015,1128|0128|2811|2001|0111
U0017,7777,4,1973-12-17,1973-08-13,2023-08-31,2019-10-20,WEAK,COMMON_PATTERN,1217|7317|1973|1712|7312,7308|0813|7313|1973|1308,0831|3108|2308|2331|2023,2010|2019|1910|1920|1020
U0018,1702,4,1975-11-18,1979-02-17,2014-12-07,2011-06-27,WEAK,DEMOGRAPHIC_SPOUSE,1975|7518|7511|1118|1811,7917|7902|1979|1702|0217,1207|1407|1412|0712|2014,0627|2706|1106|1127|2011
U0019,2011,4,1988-11-03,1986-05-27,2018-05-09,2020-11-01,WEAK,DEMOGRAPHIC_ANNIVERSARY,0311|8803|1103|8811|1988,1986|2705|0527|8627|8605,0905|2018|1805|1809|0509,2001|0111|2011|1101|2020
U0020,1979,4,1979-09-26,1983-01-04,2011-03-18,2015-04-19,WEAK,DEMOGRAPHIC_SELF,7926|0926|7909|2609|1979,1983|8304|8301|0401|0104,1103|0318|1118|2011|1803,1504|1519|1904|0419|2015
U0021,3152,4,1976-05-12,1977-05-22,2014-12-12,2021-11-22,STRONG,,1976|7612|1205|0512|7605,2205|7722|7705|0522|1977,2014|1412|1212,2021|2111|1122|2211|2122
U0022,1997,4,1997-12-12,1997-11-27,2022-01-15,2022-11-25,WEAK,"DEMOGRAPHIC_SELF,DEMOGRAPHIC_SPOUSE",9712|1997|1212,2711|1127|1997|9711|9727,2215|1501|0115|2022|2201,2225|2511|2022|2211|1125
